SubmissionDate,starttime,endtime,deviceid,devicephonenum,username,device_info,duration,caseid,Date,Enumerator,Hospital,BAT,BST,BET,Breakfast,LAT,LST,LET,Lunch,Male,Female,Female_caregivers,Male_caregivers,age_group_1,age_group_2,age_group_3,age_group_4,age_group_5,Kigali,South,East,North,West,DAT,DST,DET,Dinner,Challenge_satisfaction,Recommendation,Audio,Image,instanceID,formdef_version,KEY
"8/7/2024, 10:57:01 PM","8/7/2024, 6:17:54 PM","8/7/2024, 10:56:54 PM",0ddcca6db3c774ee,,masaka,Infinix|Infinix X6516|12|SurveyCTO Collect 2.81.2 (3771098),2031,,8/7/2024,3,2,6:50:06 AM,7:00:22 AM,7:29:39 AM,,12:56:33 PM,1:12:04 PM,2:00:11 PM,174,61,79,,,,,,,,,,,,,4:30:13 PM,4:37:24 PM,5:17:35 PM,145,"today all the patients were satisfied with the meals we gave them, but they were not satisfied with the dinner because the potatoes had become like sauce.
today we also gave hygiene materials to the patients without caregivers, we them vaseline and soap. they are very happy because it helps them to stay clean.","there was a sick child in pediatrics ward, hid mother told me that her child was born with a disability, and he was delayed in growing up due to the disability, now his child is 3 years old but he has liver and lung disease, they put him on air immediately i put him on milk, egg and pottage.

there is another patient in internal medicine who has been in drinking from a tube for 2 weeks and we have been giving him milk and pottage which helped him. today we went to feed him special food.",,,uuid:56e64e7c-1937-4e07-a18d-29b833ab3a20,2407301816,uuid:56e64e7c-1937-4e07-a18d-29b833ab3a20
"8/7/2024, 11:37:51 PM","8/6/2024, 12:51:08 PM","8/7/2024, 11:37:41 PM",2228bfbb108d29cb,,muhima,google|Pixel 3a|12|SurveyCTO Collect 2.81.2 (3771098),7605,,8/5/2024,4,3,6:47:31 AM,6:57:27 AM,7:36:36 AM,,12:27:25 PM,12:41:37 PM,1:35:00 PM,117,8,65,,,,,,,,,,,,,4:14:17 PM,4:50:18 PM,5:29:19 PM,98,None,"At breakfast, porridge and bread along with eggs, which every patient received and enjoyed.

Regarding special dietary needs, we received Two new patients referred by nutritionist.
They are also thankful that they came without hope of survival but they have grown up well because they have seen good people who care for them. god bless them",,,uuid:b01776c2-76ea-4277-b01b-193f9b1898ba,2407301816,uuid:b01776c2-76ea-4277-b01b-193f9b1898ba
"8/8/2024, 8:32:47 AM","8/8/2024, 6:29:19 AM","8/8/2024, 8:32:41 AM",2228bfbb108d29cb,,muhima,google|Pixel 3a|12|SurveyCTO Collect 2.81.2 (3771098),5540,,8/7/2024,4,3,7:03:40 AM,7:13:55 AM,7:47:44 AM,,2:12:52 PM,12:31:18 PM,3:15:37 PM,109,9,57,,,,,,,,,,,,,4:37:42 PM,4:50:54 PM,5:38:16 PM,93,N/A,"there is a patient in the maternity ward we talked to. he has not been in the hospital for long.  He just appreciated the way we received.
He appreciated the way we received and fed him. he asks for a great blessing",,,uuid:0f27c6f6-5cf4-4630-b0f3-d97595dbf743,2407301816,uuid:0f27c6f6-5cf4-4630-b0f3-d97595dbf743
"8/8/2024, 10:14:51 PM","8/8/2024, 9:11:22 PM","8/8/2024, 10:14:42 PM",0ddcca6db3c774ee,,masaka,Infinix|Infinix X6516|12|SurveyCTO Collect 2.81.2 (3771098),2718,,8/8/2024,3,1,6:50:36 AM,6:57:45 AM,7:30:58 AM,,11:49:59 AM,12:10:12 PM,1:10:25 PM,178,65,79,,,,,,,,,,,,,4:35:09 PM,4:40:10 PM,5:23:11 PM,148,"today we had guests, they helped us to feed the patients and caregivers, it was very good, the patients and care givers were happy and satisfied with the meals and fruits we gave them because it helps them to have body strengh and recover quickly.","a mother who talked to the guests, was very happy because it made her proud to talk to them about all that solid africa has done for her. including: paying her medicine, paying for her hospital bills, clothing, hygiene items and feeding her every day. she said how his patient is getting better and thanks to solid africa, because he was in coma. we feeded him in a tube and we gave him pottage and milk. and now he can eat and even try to speak.",,,uuid:45ef3dbc-556c-4e7f-bfae-a6739eccb0c4,2407301816,uuid:45ef3dbc-556c-4e7f-bfae-a6739eccb0c4
"8/9/2024, 7:27:34 PM","8/9/2024, 10:41:08 AM","8/9/2024, 7:20:04 PM",356058093652798,,chuk,samsung|SM-J737T|9|SurveyCTO Collect 2.81.2 (3771098),1294,,8/9/2024,1,0,6:43:15 AM,7:02:33 AM,8:22:54 AM,,12:48:58 PM,1:04:13 PM,1:59:53 PM,538,125,144,,,,,,,,,,,,,5:00:18 PM,5:19:34 PM,6:04:36 PM,520,"Today we had the problem that the sombe was not good and it was contained alot of water and banana for special  diet was poorly prepared,11 patients in internal medicine s1 refused to take the sombe because it was water.",N/A,,media\1723223082176.jpg,uuid:7e8328d5-fd52-4778-bc06-487d8b21c221,2407301816,uuid:7e8328d5-fd52-4778-bc06-487d8b21c221
"8/9/2024, 10:30:54 PM","8/9/2024, 7:23:46 PM","8/9/2024, 10:30:33 PM",70fe08f24037fb15,,kibagabaga,TECNO|TECNO CG6|12|SurveyCTO Collect 2.81.2 (3771098),2152,,8/9/2024,2,2,6:27:16 AM,6:38:57 AM,7:20:07 AM,,1:55:52 PM,2:13:28 PM,2:53:35 PM,177,79,50,,,,,,,,,,,,,4:51:08 PM,4:56:42 PM,5:16:32 PM,141,"Satisfaction was that beneficiaries enjoyed our meals and It was enough 

We got a New training on the New App we Will be using in doing Report.

Kindly as I mentioned in the whatsap group deliver the Soup without Salt and oil at Dinner only cause in the morning he Will be using porridge at Lunch the sauce.

There's a Patient who is in the TB ward, he would like to Get ugali with sauce 3 times a week cause he is not eating the special Diet we provide for them.",N/A,,,uuid:e32aef86-7f1f-4758-a7d6-1aa7eeecb5c2,2407301816,uuid:e32aef86-7f1f-4758-a7d6-1aa7eeecb5c2
"8/9/2024, 11:42:50 PM","8/9/2024, 10:56:59 AM","8/9/2024, 11:42:35 PM",0ddcca6db3c774ee,,masaka,Infinix|Infinix X6516|12|SurveyCTO Collect 2.81.2 (3771098),2466,,8/9/2024,3,1,6:49:22 AM,7:30:33 AM,7:32:46 AM,,12:55:04 PM,1:09:27 PM,1:49:52 PM,158,52,68,,,,,,,,,,,,,4:44:22 PM,4:55:23 PM,5:25:24 PM,132,all the patients and caregivers got enough food. the women in neonatology again enjoyed the milk tea we gave them because it increased their breast milk.,"in internal medicine there is a man who has been in hospital for one month he came from eastern province, in rwamagana  district.

he was sick tuberculosis and liver we treated him well and particular, we feeded him special diet, milk, egg, and fruits. but he has problem for unprofessional treatment, because has not ability to buy all medicine.",,,uuid:3e67376b-4c28-45c3-88ed-ec5b1054feeb,2407301816,uuid:3e67376b-4c28-45c3-88ed-ec5b1054feeb
"8/10/2024, 8:27:32 AM","8/8/2024, 9:08:57 AM","8/10/2024, 8:27:19 AM",2228bfbb108d29cb,,muhima,google|Pixel 3a|12|SurveyCTO Collect 2.81.2 (3771098),2964,,8/9/2024,4,3,6:39:02 AM,6:53:13 AM,7:35:20 AM,,12:39:34 PM,1:03:26 PM,2:20:12 PM,111,10,57,,,,,,,,,,,,,5:11:49 PM,5:25:41 PM,5:59:02 PM,99,None,"We offered porridge and bread along with eggs, which every patient received and enjoyed.
During lunch, we provided delicious meals including isombe, which pleased all beneficiaries.

The nutritionist of the hospital told us that the patients in the pediatric  number6 Children.should be given eggs and milk because they have sick children.",,,uuid:b74dbaa5-3da8-4317-8dc0-830b4c8d0c7e,2407301816,uuid:b74dbaa5-3da8-4317-8dc0-830b4c8d0c7e
"8/10/2024, 11:37:31 PM","8/10/2024, 8:57:47 PM","8/10/2024, 11:37:23 PM",0ddcca6db3c774ee,,masaka,Infinix|Infinix X6516|12|SurveyCTO Collect 2.81.2 (3771098),2968,,8/10/2024,3,1,6:39:22 AM,6:50:49 AM,7:22:19 AM,,12:35:58 PM,12:47:49 PM,1:25:58 PM,146,50,66,,,,,,,,,,,,,4:42:25 PM,4:50:55 PM,5:30:39 PM,135,today the patients and caregivers are satisfied with the meals we feeded them. the normal dieters. were satisified with the potatoes we gave them for dinner.,"in pediatriec ward there is a malnourished child. he came down with diarrhea and vomite. chacked him and found that he is he is malnourished because the child is one year and 6 months old but only weighs of 5 kg we immediately put him on a special diet, milk egg and fruits.",,,uuid:57963e7c-09d3-4110-9709-11da20f2a8cc,2407301816,uuid:57963e7c-09d3-4110-9709-11da20f2a8cc
"8/11/2024, 1:13:24 AM","8/10/2024, 9:49:08 AM","8/11/2024, 1:13:19 AM",2228bfbb108d29cb,,muhima,google|Pixel 3a|12|SurveyCTO Collect 2.81.2 (3771098),10156,,8/10/2024,4,3,6:47:27 AM,6:54:27 AM,7:30:28 AM,,12:16:28 PM,12:29:29 PM,1:30:29 PM,109,9,57,,,,,,,,,,,,,5:11:30 PM,5:21:40 PM,5:53:59 PM,94,None,a patient  who talked to us that he has been at Muhima's hospital for 2 months. And his child was suffering from the skin desease but he is very thankful because in those two months the child is not longer sick as usual,,,uuid:f70a89bc-5266-4c02-b104-c025515f16b2,2407301816,uuid:f70a89bc-5266-4c02-b104-c025515f16b2
"8/11/2024, 7:14:17 AM","8/10/2024, 11:49:29 AM","8/11/2024, 7:12:43 AM",4c901e414fa4aff7,,chuk,samsung|SM-A127F|13|SurveyCTO Collect 2.81.2 (3771098),7207,,8/10/2024,5,0,6:53:42 AM,7:20:19 AM,8:30:49 AM,,12:33:22 PM,12:44:53 PM,1:48:44 PM,480,86,154,,,,,,,,,,,,,5:30:39 PM,5:41:40 PM,6:42:41 PM,464,"Today's Challenges:

Beneficiary Complaints:

Matoke (Banana): It was undercooked, leading to dissatisfaction among the beneficiaries.
Spaghetti: It was overcooked and had a smoky smell, which further added to the dissatisfaction.
Nutrition Department at CHUK:

Egg Supply: Eggs were not delivered as expected, and the Nutrition department was not informed in advance. This created difficulties for them in explaining the situation to the beneficiaries

While for the normal diet provided today, we received positive feedback. Beneficiaries had no complaints, expressing that the food was well-prepared, healthy, and that they were grateful to SolidAfrica.","Recommendations:
Cooking Quality Control:

Ensure that the meals are cooked to the appropriate level to avoid undercooking or overcooking.
Address the issue of the smoky smell in the spaghetti, which could be related to the cooking method or equipment.

Communication with Nutrition Department:
Improve communication regarding supply issues, such as the non-delivery of eggs, to avoid surprises and ensure the nutrition department can manage expectations with beneficiaries.
Continuous Improvement:

Continue gathering feedback on the normal diet to maintain the high satisfaction level and address any emerging issues promptly.",,media\1723353053068.jpg,uuid:2ae40e8d-a981-4584-8aee-b7ef680e8e04,2407301816,uuid:2ae40e8d-a981-4584-8aee-b7ef680e8e04
"8/11/2024, 4:09:36 PM","8/9/2024, 10:46:01 AM","8/11/2024, 3:51:51 PM",dcc98da1ce4a0190,,nyarugenge,Itel|itel A662L|12|SurveyCTO Collect 2.81.2 (3771098),5048,,8/9/2024,0,4,7:33:31 AM,7:57:40 AM,8:34:50 AM,,1:09:08 PM,1:26:11 PM,2:00:28 PM,125,23,55,,,,,,,,,,,,,3:41:29 PM,3:41:30 PM,3:41:30 PM,0,"The patients told us that isombe we gave them yesterday was not fresh and not cooked well so some patients  attacked by diarrhoea.

The special diet we received was not  delicious because was burnt and the patients were not happy with it.

There is no  juice for  patient  found.",Before sending the meals the responsible person  go first to make sure that the requested meals  are all prepared  and correct.,,media\1723376195608.jpg,uuid:e50ed1fe-38d2-4e8b-a740-1311b089f229,2407301816,uuid:e50ed1fe-38d2-4e8b-a740-1311b089f229
"8/11/2024, 8:16:43 PM","8/11/2024, 7:05:17 PM","8/11/2024, 8:16:27 PM",dcc98da1ce4a0190,,nyarugenge,Itel|itel A662L|12|SurveyCTO Collect 2.81.2 (3771098),3270,,8/11/2024,0,4,7:23:54 AM,7:43:08 AM,8:12:17 AM,,1:05:33 PM,1:26:38 PM,2:09:13 PM,114,21,49,,,,,,,,,,,,,8:15:15 PM,8:15:16 PM,8:15:16 PM,0,"In the morning there was no milk for the patients we received .

Yesterday and today we haven't receive any eggs of  patients .","There was a  patient we received who   was burned by essence and couldn't  see or eat, now she has reached a satisfactory level  because she can see and eat and speak .
But she wanted us to help her  because there are tools they use when they are going to wash  her to be able  to cover her but it finished, and she has no ability left, 
She want us to help her  so that she doesn't  go back and  she has reached an interesting level.

 I am posting a photo of what she needs in order they continue covering that patient .
She uses four paraffin gauze a day.",,media\1723397848588.jpg,uuid:be556c18-756c-4485-a12a-82ae012b33f5,2407301816,uuid:be556c18-756c-4485-a12a-82ae012b33f5
"8/11/2024, 8:41:40 PM","8/11/2024, 10:24:48 AM","8/11/2024, 8:41:07 PM",4c901e414fa4aff7,,chuk,samsung|SM-A127F|13|SurveyCTO Collect 2.81.2 (3771098),6393,,8/11/2024,5,0,7:00:54 AM,7:20:14 AM,8:05:34 AM,,12:19:27 PM,12:30:27 PM,1:30:28 PM,474,90,143,,,,,,,,,,,,,4:54:48 PM,5:06:50 PM,5:49:51 PM,456,"Today, beneficiaries had a fulfilling day with meals that were not only well-prepared but also sufficient and healthy. It's great to hear that they were satisfied and appreciative of the efforts put into providing their breakfast, lunch, and dinner.",The beneficiaries expressed their gratitude to SolidAfrica for providing today's meals and supportive materials. They mentioned that the meals are aiding in their recovery and helping to reduce their expenses.,,,uuid:68af3ff1-0732-461f-ab7d-bfb7cfc08021,2407301816,uuid:68af3ff1-0732-461f-ab7d-bfb7cfc08021
"8/11/2024, 10:57:44 PM","8/11/2024, 3:40:14 PM","8/11/2024, 10:55:46 PM",70fe08f24037fb15,,kibagabaga,TECNO|TECNO CG6|12|SurveyCTO Collect 2.81.2 (3771098),7800,,8/11/2024,2,2,6:45:38 AM,6:52:32 AM,7:28:59 AM,,1:23:52 PM,1:43:24 PM,2:21:00 PM,171,76,52,,,,,,,,,,,,,3:55:59 PM,4:17:08 PM,4:53:16 PM,140,"The challenge was that we didn't get eggs at lunch for patients who take the special diet.

Beneficiaries were satisfied with the food we served them and it was enough too, even though the number reduced it's because some of them have been discharged others were visited by their families.",As there was no egg at the kitchen we hope that it will be as soon as possible.,,,uuid:753612e1-bdb3-42b8-8269-a5f0a0628e2e,2407301816,uuid:753612e1-bdb3-42b8-8269-a5f0a0628e2e
"8/11/2024, 11:13:19 PM","8/10/2024, 10:34:36 AM","8/11/2024, 11:11:54 PM",70fe08f24037fb15,,kibagabaga,TECNO|TECNO CG6|12|SurveyCTO Collect 2.81.2 (3771098),3373,,8/10/2024,2,2,6:31:13 AM,6:39:21 AM,7:15:22 AM,,3:00:35 PM,3:15:50 PM,3:45:58 PM,174,77,53,,,,,,,,,,,,,5:38:55 PM,5:43:04 PM,6:16:25 PM,145,"At Lunch, eggs for the special diet weren't delivered.",Everything went well the food was enough and had quality too.,,,uuid:8b82ee24-5ea3-49fc-ab2c-c64708104e38,2407301816,uuid:8b82ee24-5ea3-49fc-ab2c-c64708104e38
"8/11/2024, 11:50:39 PM","8/11/2024, 7:32:52 PM","8/11/2024, 11:50:25 PM",0ddcca6db3c774ee,,masaka,Infinix|Infinix X6516|12|SurveyCTO Collect 2.81.2 (3771098),3320,,8/11/2024,3,1,6:53:48 AM,7:00:24 AM,7:40:12 AM,,12:24:27 PM,12:45:36 PM,1:42:27 PM,149,44,62,,,,,,,,,,,,,4:14:00 PM,4:25:14 PM,5:02:30 PM,131,"today the patients who are taking eggs are worried that they have not seen them for 2 days because there are helping to dry their sores.

I just asked them to be patient that it won't be long before they see it.","there is a mother who brought her child to the pediatrics told me that she brought her child to the hospital suffering from vomiting, faint, and Diarrhea. she told me that they came from far away and she's a poor and it was difficult for her to get food, so when she arrived at the hospital, she was surprised to find that they are charity workers who feed all the patients, especially those who come from far away. it made her very happy and now she is comfident that she will get better soon, because his child can eat and feel good.",,,uuid:283595e5-9059-48e7-b4c7-45314e63f93e,2407301816,uuid:283595e5-9059-48e7-b4c7-45314e63f93e
"8/12/2024, 6:39:30 PM","8/12/2024, 7:33:55 AM","8/12/2024, 6:36:01 PM",70fe08f24037fb15,,kibagabaga,TECNO|TECNO CG6|12|SurveyCTO Collect 2.81.2 (3771098),3542,,8/12/2024,2,2,6:40:29 AM,6:50:33 AM,7:26:48 AM,,2:32:40 PM,2:57:51 PM,3:40:02 PM,178,77,54,,,,,,,,,,,,,5:07:32 PM,5:15:51 PM,5:57:27 PM,144,"At Lunch, The challenge we faced today, when we were about to serve them milk to the special diet's patients, we find it spoiled.","For the challenge mentioned above, we shall check well to see what caused it.

We're still waiting for eggs.

Food was enough and had quality, beneficiaries enjoyed it, each meal was good.
The special diet is helping them a lot especially for those who can't eat the normal food who need the soft ones, their digestion is operating well.

The Patient who's in TB requested again the Ugali + meat sauce cause he doesn't eat the special diet we serve him.",,,uuid:df3e3ee0-b9a4-4397-94c0-2de72710f215,2407301816,uuid:df3e3ee0-b9a4-4397-94c0-2de72710f215
"8/12/2024, 7:29:32 PM","8/12/2024, 2:10:17 PM","8/12/2024, 7:29:16 PM",4c901e414fa4aff7,,chuk,samsung|SM-A127F|13|SurveyCTO Collect 2.81.2 (3771098),7145,,8/12/2024,5,0,6:58:35 AM,7:11:45 AM,8:00:56 AM,,1:14:27 PM,1:25:43 PM,2:13:20 PM,486,89,154,,,,,,,,,,,,,5:20:58 PM,5:29:38 PM,6:26:55 PM,481,"Beneficiaries were satisfied because breakfast was Well-prepared and sufficient.
Lunch: Good quality with no complaints, well-prepared, and enough.
Dinner: Sufficient, rounding out a successful day overall.","I would like to thank you for the meals for today because beneficiaries had no any complaints. Instead, they are thankful because meals were well-prepared, healthy,and sufficient .",,,uuid:7c0c310f-c361-45e1-b9d0-560281cab83c,2407301816,uuid:7c0c310f-c361-45e1-b9d0-560281cab83c
"8/12/2024, 9:53:57 PM","8/12/2024, 5:49:25 PM","8/12/2024, 9:53:47 PM",dcc98da1ce4a0190,,nyarugenge,Itel|itel A662L|12|SurveyCTO Collect 2.81.2 (3771098),2140,,8/12/2024,0,4,7:17:54 AM,7:35:01 AM,8:12:17 AM,,1:58:31 PM,2:07:36 PM,3:01:45 PM,134,25,59,,,,,,,,,,,,,5:57:11 PM,5:58:11 PM,5:58:11 PM,0,"Today,we didn't get eggs for patients.

 First of all all beneficiaries received their meals and fruits especially special diet patients  and were very satisfied with it.

Inmates generally appreciate our care in terms of food and drinks because prison doesn't provide special food or drinks like soup or juice for patient .
Almost all of them ,we give them special diet ,and they said it is a great value to have solid africa.

The doctor who treats monkey pox patients,she thanks us very much for trying everything  so that these patients  get better  quickly ,and says that they get better gradually.
She asked if possible to give them eggs every day because the women's she has ,they have sores on their whole body  which is terrible.",Two patients from internal medecine discharged from the hospital.,,,uuid:5e362d6f-70b6-42b7-bfbe-5efb81362217,2407301816,uuid:5e362d6f-70b6-42b7-bfbe-5efb81362217
